,train.ID,train.Marital.Status,train.Gender,train.Income,train.Children,train.Education,train.Occupation,train.Home.Owner,train.Cars,train.Commute.Distance,train.Region,train.Age,train.Purchased.Bike
1,12496,0.431806927044952,0.488739893834218,40000,1,0.552101694915254,0.451074276778733,0.475225393127548,0,0.54630534351145,0.493300531914894,42,0
2,24107,0.431806927044952,0.473592809691286,30000,3,0.449152746425884,0.497102362204724,0.475225393127548,1,0.54630534351145,0.493300531914894,43,0
3,14177,0.431806927044952,0.473592809691286,80000,5,0.449152746425884,0.543297687861272,0.493598475222363,2,0.58590171990172,0.493300531914894,60,0
4,24381,0.539199651264167,0.473592809691286,70000,0,0.552101694915254,0.543297687861272,0.475225393127548,1,0.396186721991701,0.588095435684647,41,1
5,25597,0.539199651264167,0.473592809691286,30000,0,0.552101694915254,0.497102362204724,0.493598475222363,0,0.54630534351145,0.493300531914894,36,1
6,13507,0.431806927044952,0.488739893834218,10000,2,0.449152746425884,0.462310517529215,0.475225393127548,0,0.455740871613663,0.493300531914894,50,0
7,27974,0.539199651264167,0.473592809691286,160000,2,0.44151724137931,0.422237054085155,0.475225393127548,4,0.54630534351145,0.588095435684647,33,1
8,19364,0.431806927044952,0.473592809691286,40000,1,0.552101694915254,0.451074276778733,0.475225393127548,0,0.54630534351145,0.493300531914894,43,1
9,22155,0.431806927044952,0.473592809691286,20000,2,0.265427083333333,0.497102362204724,0.475225393127548,2,0.396186721991701,0.588095435684647,58,0
10,19280,0.431806927044952,0.473592809691286,60000,2,0.449152746425884,0.462310517529215,0.475225393127548,1,0.54630534351145,0.493300531914894,44.1814516129032,1
11,22173,0.431806927044952,0.488739893834218,30000,3,0.44151724137931,0.451074276778733,0.493598475222363,2,0.455740871613663,0.588095435684647,54,1
12,12697,0.539199651264167,0.488739893834218,90000,0,0.552101694915254,0.543297687861272,0.493598475222363,4,0.298611806797853,0.588095435684647,36,0
13,11434,0.431806927044952,0.473592809691286,170000,5,0.449152746425884,0.543297687861272,0.475225393127548,1.45509586276488,0.54630534351145,0.493300531914894,55,0
14,25323,0.431806927044952,0.473592809691286,40000,2,0.449152746425884,0.497102362204724,0.475225393127548,1,0.455740871613663,0.493300531914894,35,1
15,23542,0.539199651264167,0.473592809691286,60000,1,0.449152746425884,0.451074276778733,0.493598475222363,1,0.54630534351145,0.588095435684647,45,1
16,20870,0.539199651264167,0.488739893834218,10000,2,0.44151724137931,0.462310517529215,0.475225393127548,1,0.54630534351145,0.493300531914894,38,1
17,23316,0.539199651264167,0.473592809691286,30000,3,0.449152746425884,0.497102362204724,0.493598475222363,2,0.455740871613663,0.588095435684647,59,1
18,12610,0.431806927044952,0.488739893834218,30000,1,0.552101694915254,0.497102362204724,0.475225393127548,0,0.54630534351145,0.493300531914894,47,0
19,27183,0.539199651264167,0.473592809691286,40000,2,0.449152746425884,0.497102362204724,0.475225393127548,1,0.455740871613663,0.493300531914894,35,1
20,25940,0.539199651264167,0.473592809691286,20000,2,0.265427083333333,0.497102362204724,0.475225393127548,2,0.396186721991701,0.588095435684647,55,1
21,25598,0.431806927044952,0.488739893834218,40000,0,0.53995881006865,0.497102362204724,0.475225393127548,0,0.54630534351145,0.493300531914894,36,1
22,21564,0.539199651264167,0.488739893834218,80000,0,0.552101694915254,0.543297687861272,0.475225393127548,4,0.298611806797853,0.588095435684647,35,0
23,19193,0.539199651264167,0.473592809691286,40000,2,0.449152746425884,0.497102362204724,0.475225393127548,0,0.455740871613663,0.493300531914894,35,1
24,26412,0.431806927044952,0.488739893834218,80000,5,0.44151724137931,0.422237054085155,0.493598475222363,3,0.396186721991701,0.493300531914894,56,0
25,27184,0.539199651264167,0.473592809691286,40000,2,0.449152746425884,0.497102362204724,0.493598475222363,1,0.54630534351145,0.493300531914894,34,0
26,12590,0.539199651264167,0.473592809691286,30000,1,0.552101694915254,0.497102362204724,0.475225393127548,0,0.54630534351145,0.493300531914894,63,0
27,17841,0.539199651264167,0.473592809691286,30000,0,0.449152746425884,0.497102362204724,0.493598475222363,1,0.54630534351145,0.493300531914894,29,1
28,18283,0.431806927044952,0.488739893834218,1e+05,0,0.552101694915254,0.543297687861272,0.493598475222363,1,0.396186721991701,0.588095435684647,40,0
29,18299,0.431806927044952,0.473592809691286,70000,5,0.449152746425884,0.451074276778733,0.475225393127548,2,0.396186721991701,0.588095435684647,44,0
30,16466,0.539199651264167,0.488739893834218,20000,0,0.265427083333333,0.462310517529215,0.493598475222363,2,0.54630534351145,0.493300531914894,32,1
31,19273,0.431806927044952,0.488739893834218,20000,2,0.449152746425884,0.462310517529215,0.475225393127548,0,0.54630534351145,0.493300531914894,63,0
32,22400,0.431806927044952,0.473592809691286,10000,0,0.449152746425884,0.462310517529215,0.493598475222363,1,0.54630534351145,0.588095435684647,26,1
